Star,Comment
4,これは、コンパクト&スタイリッシュで便利！ 一通り機能の確認をしましたが、問題ありませんでした。 ただ、USB端子は、どちらが3.0なのか、2.0なのか、表示がないので見ただけでは分かりません。 端子内はどちらも青なので、どちらも3.0なのかと思って速度計測したら、USB-C端子に近いほうが、3.0でした。（2.0の方は端子内を黒にすべきかと） 他はしっかりした作りで気に入っています。(^^)
5,しっかりペンタブも使え、リモートワークに活用できました。ありがとうございます
5,surface go 2の拡張用に購入。 外出先でのHDMI出力とUSBポートが欲しくて、必要最低限のハブを探していました。 コンパクトなので常時バッグのポケットに入れておいても邪魔になりません。 HDMI出力も安定していて、USBの転送速度も十分です。 カードリーダーやPD対応も付いているので、外出先でも安心です。
5,届いたので早速使ってみました。写真通りスタイリッシュでいい感じです。 最初USB×2＋HDMIを挿して使おうとしたら、一瞬機能してすぐに使えなくなってしまったため不良品か？と思ったのですが、暫く挿しっぱなしして時間経ってからトライしたところ普通に機能しました。よくわかっていないですがハブにも少し充電しないと使えないのですかね。USBは最初から機能しましたがHDMI使用までは少し時間がかかりました。同じような症状の方がいればと思い、一応レビュー残しておきます。 USBポートを潰さないので非常に使い勝手がいい商品だと思います！
4,TECLAST F5に使用したくて購入しました。 最初、USB2箇所、カードリーダー2箇所のみの動作でアレっと試行錯誤。結局、大元の電流不足だったようで供給電力を大きくしたら、HDMIもPD電源も正常動作しました。今のところ重宝しています。 自分がアホだったのかとも思いましたが、商品説明に必要な電力があったら良かったな。
4,Surfacelaptop4のポートが少ないので購入しました。プレゼンでモニターに繋げたり、カメラの写真を取り込んだり、USBのデータをやり取りしたりするので、オールインワンのものが無いか探していたらピッタリだったので選びました。 外観 Surfacelaptopと同色で雰囲気が統一されてよかったです。 作動 届いてすぐにテストしました。全てのポートに問題なく作動してました。 読み込みもエラーなく対応してました。耐久性はこれからです。 気になった点 USBAの内部の囲いの部品が、若干歪んでました。差し込みには影響無かったですが気になりました。 全体的には便利になってかなり満足です。
5,価格が安く、小型、軽量ですが、放熱性も良く、特に問題なく使用できています。USBの転送能力やSDメモリのアクセス性能までは確認はしていませんが、外部モニタとの接続、USB接続の点では問題ありませんでした。今まで使用していたのものはすごく熱くなり、放熱性が良くなく、複数USB接続時に制約があったのがなくなって快適です。PD６０W対応だからでしょうか、USB タイプCのケーブルが太くて安心といった感じはありませんが、とりわけ問題はなさそうです。
4,商品が到着してから、パソコンには接続しましたが 外部接続まではしていない状況です。 これからUSBとかdisplayに接続予定です。 ほんたの質感は思ったより良かったです。 ひとつ気になったのはUSBの接続口が3.0と2.0の違いが分かりません。 両方とも中の色はblueで外から見ても判断できません。 付属していた仕様にも記述ありません。 それだけが気になりますね
4,MacBook Air用に購入しました。安くてとても満足しています。
5,デジカメのデータを移したりMacBookと iPhoneを一緒に充電できるハブが欲しくて購入しました。ロゴなどが無く、スペースグレイのMacBookとほとんど同じ質感、色味でよく馴染みます。USB-CのメスしかないMacBookにUSB-Aを接続できるので、iPhoneの充電やデジカメの接続もできて便利です。色々挿して熱くなったら嫌だなと思っていましたが、実際温かいぐらいかなと思います。
5,軽くてコンパクトで持ち運びに便利そうです。 旅先などでSwitch本体とモバイルモニターで(ドックだけでも荷物を減らして)ゲームを楽しむために購入しました。動作問題ないこと確認しました。でもSwitchのACアダプターは純正が確実でした。 同時にいろいろ使えるので買って良かったです。
5,SURFACEに使いたくて購入しました。 SDカードまで使えて重宝してます
4,形もスリムでいい感じで机の上がすっきりしました
4,コンパクトで問題なく使えて満足です。一点気になるのは（アルミ加工と思いますが）やや角が鋭く、硬いものと一緒に持ち歩くと傷つけないか心配な点です。総合４つ星としました。
5,HDMIの4K表示ができるUSB Type-C ハブを探していて、この商品を購入しました。コンパクトな本体にもかかわらずUSB3.0接続も2つでき、持ち運びにも便利で助かっています。
5,迅速な対応でとてもよかった。 MacBookで動作も良く、使いやすい
5,古今ではワイヤレスが一般的なのでUSBポートが足りない事はないですが、やはり節約したいのでこの商品を購入。 ほんとに素晴らしくコスパの良い物でした！
5,軽くて使いやすいです。 持ち運びもOKなので、娘が進学した際に活躍しそうです。
4,快適に使わせていただいております。ありがとうございます。
5,すぐに発送していただき、早速使わせていただいております。コンパクトサイズで使いやすく、大変満足しております。ありがとうございました。
5,switch、surface、chromebookでも問題なく利用出来ました。 電源はchromebookのものを利用してみましたが、充電しながらの利用も問題ありません。 コンパクトで持ち運びもかさばりません。
